k,dimension,epoch,fonction de similarite,qualite
50,2,30,"similarite_trajectoires_JACCARD_cosinus",0.31635610766045547
1,2,40,"similarite_trajectoires_MRR_cosinus",0.25010351966873706
2,2,40,"similarite_trajectoires_MRR_cosinus",0.2496894409937888
3,2,40,"similarite_trajectoires_MRR_cosinus",0.263768115942029
4,2,40,"similarite_trajectoires_MRR_cosinus",0.2728778467908903
5,2,40,"similarite_trajectoires_MRR_cosinus",0.2795031055900621
6,2,40,"similarite_trajectoires_MRR_cosinus",0.28530020703933745
8,2,40,"similarite_trajectoires_MRR_cosinus",0.29606625258799174
10,2,40,"similarite_trajectoires_MRR_cosinus",0.30559006211180123
12,2,40,"similarite_trajectoires_MRR_cosinus",0.31180124223602484
15,2,40,"similarite_trajectoires_MRR_cosinus",0.3188405797101449
20,2,40,"similarite_trajectoires_MRR_cosinus",0.31925465838509315
25,2,40,"similarite_trajectoires_MRR_cosinus",0.3217391304347826
30,2,40,"similarite_trajectoires_MRR_cosinus",0.3233954451345756
40,2,40,"similarite_trajectoires_MRR_cosinus",0.3217391304347826
50,2,40,"similarite_trajectoires_MRR_cosinus",0.32215320910973083
1,2,40,"similarite_trajectoires_JACCARD_cosinus",0.2463768115942029
2,2,40,"similarite_trajectoires_JACCARD_cosinus",0.2455486542443064
3,2,40,"similarite_trajectoires_JACCARD_cosinus",0.2571428571428571
4,2,40,"similarite_trajectoires_JACCARD_cosinus",0.26583850931677017
5,2,40,"similarite_trajectoires_JACCARD_cosinus",0.27577639751552796
6,2,40,"similarite_trajectoires_JACCARD_cosinus",0.2836438923395445
8,2,40,"similarite_trajectoires_JACCARD_cosinus",0.29606625258799174
10,2,40,"similarite_trajectoires_JACCARD_cosinus",0.3039337474120083
12,2,40,"similarite_trajectoires_JACCARD_cosinus",0.3076604554865424
15,2,40,"similarite_trajectoires_JACCARD_cosinus",0.3101449275362319
20,2,40,"similarite_trajectoires_JACCARD_cosinus",0.3167701863354037
25,2,40,"similarite_trajectoires_JACCARD_cosinus",0.31801242236024846
30,2,40,"similarite_trajectoires_JACCARD_cosinus",0.3188405797101449
40,2,40,"similarite_trajectoires_JACCARD_cosinus",0.31925465838509315
